County,Data Year,Population,Z Score
Alameda             ,2010,1510271,0.03351932623282419
Amador              ,2010,38091,-0.25157602373095234
Butte               ,2010,220000,-0.2163483953046997
Calaveras           ,2010,45578,-0.25012612705719045
Colusa              ,2010,21419,-0.2548046436514757
Contra Costa        ,2010,1049025,-0.055803371935465064
Del Norte,2010,28610,-0.2534120689244794
El Dorado           ,2010,181058,-0.22388971709842695
Fresno              ,2010,930450,-0.0787660403061499
Glenn               ,2010,28122,-0.25350657267455223
Humboldt            ,2010,134623,-0.23288209749726946
Imperial            ,2010,174528,-0.22515428572132867
Inyo                ,2010,18546,-0.2553610151145074
Kern                ,2010,839631,-0.09635361423621296
Kings               ,2010,152982,-0.22932678121122768
Lake                ,2010,64665,-0.24642982976694158
Lassen              ,2010,34895,-0.25219494583183966
Los Angeles ,2010,9818605,1.6424716210241834
Madera              ,2010,150865,-0.22973674932373658
Marin               ,2010,252409,-0.21007222309955084
Mariposa            ,2010,18251,-0.25541814340604735
Mendocino           ,2010,87841,-0.241941676259381
Merced              ,2010,255793,-0.20941689381625844
Modoc               ,2010,9686,-0.2570768004129621
Mono                ,2010,14202,-0.2562022534143366
Monterey            ,2010,415057,-0.17857458797279438
Napa                ,2010,136484,-0.23252170512250375
Nevada              ,2010,98764,-0.23982638023059763
Orange              ,2010,3010232,0.3239946120178615
Placer              ,2010,348432,-0.1914768673756776
Plumas              ,2010,20007,-0.25507808482996536
Riverside           ,2010,2189641,0.16508287682099335
Sacramento,2010,1418788,0.015803165232989816
San Benito  ,2010,55269,-0.24824941426629601
San Bernardino    ,2010,2035210,0.13517650668265702
San Diego           ,2010,3095313,0.34047099226366573
San Francisco,2010,805235,-0.10301457937454798
San Joaquin,2010,685306,-0.12623945692064
San Luis Obispo     ,2010,269637,-0.20673593087361655
San Mateo           ,2010,718451,-0.11982075446947957
Santa Barbara       ,2010,423895,-0.17686306308930197
Santa Clara         ,2010,1781642,0.08607173844805603
Santa Cruz          ,2010,262382,-0.20814089953504872
Shasta              ,2010,177223,-0.22463238488844658
Sierra              ,2010,3240,-0.25832510199691683
Siskiyou            ,2010,44900,-0.25025742530011963
Solano              ,2010,413344,-0.17890631937417734
Sonoma              ,2010,483878,-0.16524704169458312
Stanislaus          ,2010,514453,-0.1593260331731099
State Total,2010,37253956,6.955470707225631
Sutter              ,2010,94737,-0.24060622982392463
Tehama              ,2010,63463,-0.24666260334806375
Trinity             ,2010,13786,-0.25628281398816927
Tulare              ,2010,442179,-0.17332227094517716
Tuolumne            ,2010,55365,-0.24823082336464233
Ventura             ,2010,823318,-0.09951271193076056
Yolo                ,2010,200849,-0.22005708652938438
Yuba                ,2010,72155,-0.244979352127503
Alameda             ,2011,1527169,0.03679171223432393
Amador              ,2011,37089,-0.2517700662669627
Butte               ,2011,221377,-0.21608173205910466
Calaveras           ,2011,45561,-0.25012941919602494
Colusa              ,2011,21362,-0.2548156819993326
Contra Costa        ,2011,1061578,-0.05337241788902014
Del Norte,2011,28191,-0.25349321046398865
El Dorado           ,2011,180887,-0.2239228321419976
Fresno              ,2011,938507,-0.07720576015381925
Glenn               ,2011,28252,-0.2534813974952295
Humboldt            ,2011,135894,-0.2326359617055837
Imperial            ,2011,175448,-0.2249761229138142
Inyo                ,2011,18582,-0.25535404352638724
Kern                ,2011,845269,-0.09526178607451005
Kings               ,2011,150073,-0.22989012426237948
Lake                ,2011,65318,-0.2463033729046514
Lassen              ,2011,34416,-0.2522877066848825
Los Angeles ,2011,9872846,1.6529756741137414
Madera              ,2011,151054,-0.22970014848610587
Marin               ,2011,254256,-0.20971454189794297
Mariposa            ,2011,18180,-0.25543189292706203
Mendocino           ,2011,87787,-0.24195213364156123
Merced              ,2011,259183,-0.2087604026016127
Modoc               ,2011,9653,-0.25708319103540556
Mono                ,2011,14312,-0.2561809513395251
Monterey            ,2011,416582,-0.17827926375381659
Napa                ,2011,136839,-0.23245295751743023
Nevada              ,2011,99035,-0.23977389966447107
Orange              ,2011,3037811,0.3293354294835593
Placer              ,2011,354618,-0.19027891615036827
Plumas              ,2011,19977,-0.25508389448673213
Riverside           ,2011,2213474,0.1696982618117463
Sacramento,2011,1431665,0.018296863572515927
San Benito  ,2011,55835,-0.2481398054086295
San Bernardino    ,2011,2055566,0.13911855245414056
San Diego           ,2011,3124985,0.346217130116459
San Francisco,2011,815714,-0.10098526626591288
