County,Data Year,Population,Z Score,Number of Gas Cars,Number of EV
Alameda,2010,1510271,0.0335193262328241,885402,20
Amador,2010,38091,-0.2515760237309523,30480,1
Butte,2010,220000,-0.2163483953046997,133169,0
Calaveras,2010,45578,-0.2501261270571904,39636,0
Colusa,2010,21419,-0.2548046436514757,14610,0
Contra Costa,2010,1049025,-0.055803371935465,666294,10
Del Norte,2010,28610,-0.2534120689244794,16083,0
El Dorado,2010,181058,-0.2238897170984269,129980,0
Fresno,2010,930450,-0.0787660403061499,481145,2
Glenn,2010,28122,-0.2535065726745522,18720,0
Humboldt,2010,134623,-0.2328820974972694,90949,2
Imperial,2010,174528,-0.2251542857213286,105807,0
Inyo,2010,18546,-0.2553610151145074,14996,0
Kern,2010,839631,-0.0963536142362129,434405,1
Kings,2010,152982,-0.2293267812112276,69017,0
Lake,2010,64665,-0.2464298297669415,48130,1
Lassen,2010,34895,-0.2521949458318396,19101,0
Los Angeles,2010,9818605,1.6424716210241834,5533082,372
Madera,2010,150865,-0.2297367493237365,78679,0
Marin,2010,252409,-0.2100722230995508,174309,15
Mariposa,2010,18251,-0.2554181434060473,15601,0
Mendocino,2010,87841,-0.241941676259381,66420,0
Merced,2010,255793,-0.2094168938162584,132962,0
Modoc,2010,9686,-0.2570768004129621,6566,0
Mono,2010,14202,-0.2562022534143366,9500,0
Monterey,2010,415057,-0.1785745879727943,241846,1
Napa,2010,136484,-0.2325217051225037,90481,4
Nevada,2010,98764,-0.2398263802305976,74032,0
Orange,2010,3010232,0.3239946120178615,1866285,40
Placer,2010,348432,-0.1914768673756776,241078,5
Plumas,2010,20007,-0.2550780848299653,17400,0
Riverside,2010,2189641,0.1650828768209933,1203395,4
Sacramento,2010,1418788,0.0158031652329898,807914,6
San Benito,2010,55269,-0.248249414266296,35284,1
San Bernardino,2010,2035210,0.135176506682657,1123942,4
San Diego,2010,3095313,0.3404709922636657,1920251,29
San Francisco,2010,805235,-0.1030145793745479,355409,24
San Joaquin,2010,685306,-0.12623945692064,377744,1
San Luis Obispo,2010,269637,-0.2067359308736165,178545,1
San Mateo,2010,718451,-0.1198207544694795,500508,50
Santa Barbara,2010,423895,-0.1768630630893019,251651,11
Santa Clara,2010,1781642,0.086071738448056,1132294,93
Santa Cruz,2010,262382,-0.2081408995350487,167294,6
Shasta,2010,177223,-0.2246323848884465,120137,0
Sierra,2010,3240,-0.2583251019969168,2779,0
Siskiyou,2010,44900,-0.2502574253001196,35462,0
Solano,2010,413344,-0.1789063193741773,256503,0
Sonoma,2010,483878,-0.1652470416945831,321825,8
Stanislaus,2010,514453,-0.1593260331731099,288895,1
Sutter,2010,94737,-0.2406062298239246,56545,0
Tehama,2010,63463,-0.2466626033480637,38011,0
Trinity,2010,13786,-0.2562828139881692,10728,0
Tulare,2010,442179,-0.1733222709451771,227826,1
Tuolumne,2010,55365,-0.2482308233646423,42495,0
Ventura,2010,823318,-0.0995127119307605,532296,42
Yolo,2010,200849,-0.2200570865293843,109452,1
Yuba,2010,72155,-0.244979352127503,40798,0
Alameda,2011,1527169,0.0367917122343239,880124,362
Amador,2011,37089,-0.2517700662669627,30485,6
Butte,2011,221377,-0.2160817320591046,132458,8
Calaveras,2011,45561,-0.2501294191960249,39368,4
Colusa,2011,21362,-0.2548156819993326,14506,0
Contra Costa,2011,1061578,-0.0533724178890201,666604,158
Del Norte,2011,28191,-0.2534932104639886,15859,0
El Dorado,2011,180887,-0.2239228321419976,128988,21
Fresno,2011,938507,-0.0772057601538192,481290,33
Glenn,2011,28252,-0.2534813974952295,18682,0
Humboldt,2011,135894,-0.2326359617055837,89843,9
Imperial,2011,175448,-0.2249761229138142,107635,1
Inyo,2011,18582,-0.2553540435263872,14756,0
Kern,2011,845269,-0.09526178607451,437509,26
Kings,2011,150073,-0.2298901242623794,68507,3
Lake,2011,65318,-0.2463033729046514,48088,3
Lassen,2011,34416,-0.2522877066848825,18802,0
Los Angeles,2011,9872846,1.6529756741137414,5518332,1461
Madera,2011,151054,-0.2297001484861058,78711,5
Marin,2011,254256,-0.2097145418979429,173842,104
Mariposa,2011,18180,-0.255431892927062,15413,1
Mendocino,2011,87787,-0.2419521336415612,66083,3
Merced,2011,259183,-0.2087604026016127,133298,3
Modoc,2011,9653,-0.2570831910354055,6362,0
Mono,2011,14312,-0.2561809513395251,9461,0
Monterey,2011,416582,-0.1782792637538165,241465,27
Napa,2011,136839,-0.2324529575174302,90281,24
Nevada,2011,99035,-0.239773899664471,73187,4
Orange,2011,3037811,0.3293354294835593,1873732,446
Placer,2011,354618,-0.1902789161503682,240320,35
Plumas,2011,19977,-0.2550838944867321,17017,0
Riverside,2011,2213474,0.1696982618117463,1211549,99
Sacramento,2011,1431665,0.0182968635725159,804508,101
San Benito,2011,55835,-0.2481398054086295,35178,4
San Bernardino,2011,2055566,0.1391185524541405,1122878,66
San Diego,2011,3124985,0.346217130116459,1915640,781
San Francisco,2011,815714,-0.1009852662659128,353737,163
San Joaquin,2011,692465,-0.1248530791608615,379369,20
San Luis Obispo,2011,270396,-0.2065889465574171,178630,35
San Mateo,2011,726265,-0.1183075325369598,504776,339
Santa Barbara,2011,424822,-0.1766835446952085,250966,79
Santa Clara,2011,1805407,0.0906739548834709,1133618,861
Santa Cruz,2011,265364,-0.2075634196524311,166606,50
Shasta,2011,178218,-0.2244396979390151,118743,9
Sierra,2011,3244,-0.2583243273760146,2732,0
Siskiyou,2011,44937,-0.2502502600567739,34630,0
Solano,2011,414084,-0.1787630145072635,255749,24
Sonoma,2011,485975,-0.1648409466865854,320561,78
Stanislaus,2011,517840,-0.1586701229241408,288060,17
Sutter,2011,94535,-0.2406453481794876,56564,0
Tehama,2011,63337,-0.2466870039064842,37791,2
Trinity,2011,13945,-0.2562520228073053,10723,1
