County,Data Year,Total Population,Total Population Z Score,Number of Gas Cars,Number of EV,Population_y,Z Score_y
Alameda,2010,1510271,0.0335193262328241,885402,20,1510271,0.0335193262328241
Amador,2010,38091,-0.2515760237309523,30480,1,38091,-0.2515760237309523
Butte,2010,220000,-0.2163483953046997,133169,0,220000,-0.2163483953046997
Calaveras,2010,45578,-0.2501261270571904,39636,0,45578,-0.2501261270571904
Colusa,2010,21419,-0.2548046436514757,14610,0,21419,-0.2548046436514757
Contra Costa,2010,1049025,-0.055803371935465,666294,10,1049025,-0.055803371935465
Del Norte,2010,28610,-0.2534120689244794,16083,0,28610,-0.2534120689244794
El Dorado,2010,181058,-0.2238897170984269,129980,0,181058,-0.2238897170984269
Fresno,2010,930450,-0.0787660403061499,481145,2,930450,-0.0787660403061499
Glenn,2010,28122,-0.2535065726745522,18720,0,28122,-0.2535065726745522
Humboldt,2010,134623,-0.2328820974972694,90949,2,134623,-0.2328820974972694
Imperial,2010,174528,-0.2251542857213286,105807,0,174528,-0.2251542857213286
Inyo,2010,18546,-0.2553610151145074,14996,0,18546,-0.2553610151145074
Kern,2010,839631,-0.0963536142362129,434405,1,839631,-0.0963536142362129
Kings,2010,152982,-0.2293267812112276,69017,0,152982,-0.2293267812112276
Lake,2010,64665,-0.2464298297669415,48130,1,64665,-0.2464298297669415
Lassen,2010,34895,-0.2521949458318396,19101,0,34895,-0.2521949458318396
Los Angeles,2010,9818605,1.6424716210241834,5533082,372,9818605,1.6424716210241834
Madera,2010,150865,-0.2297367493237365,78679,0,150865,-0.2297367493237365
Marin,2010,252409,-0.2100722230995508,174309,15,252409,-0.2100722230995508
Mariposa,2010,18251,-0.2554181434060473,15601,0,18251,-0.2554181434060473
Mendocino,2010,87841,-0.241941676259381,66420,0,87841,-0.241941676259381
Merced,2010,255793,-0.2094168938162584,132962,0,255793,-0.2094168938162584
Modoc,2010,9686,-0.2570768004129621,6566,0,9686,-0.2570768004129621
Mono,2010,14202,-0.2562022534143366,9500,0,14202,-0.2562022534143366
Monterey,2010,415057,-0.1785745879727943,241846,1,415057,-0.1785745879727943
Napa,2010,136484,-0.2325217051225037,90481,4,136484,-0.2325217051225037
Nevada,2010,98764,-0.2398263802305976,74032,0,98764,-0.2398263802305976
Orange,2010,3010232,0.3239946120178615,1866285,40,3010232,0.3239946120178615
Placer,2010,348432,-0.1914768673756776,241078,5,348432,-0.1914768673756776
Plumas,2010,20007,-0.2550780848299653,17400,0,20007,-0.2550780848299653
Riverside,2010,2189641,0.1650828768209933,1203395,4,2189641,0.1650828768209933
Sacramento,2010,1418788,0.0158031652329898,807914,6,1418788,0.0158031652329898
San Benito,2010,55269,-0.248249414266296,35284,1,55269,-0.248249414266296
San Bernardino,2010,2035210,0.135176506682657,1123942,4,2035210,0.135176506682657
San Diego,2010,3095313,0.3404709922636657,1920251,29,3095313,0.3404709922636657
San Francisco,2010,805235,-0.1030145793745479,355409,24,805235,-0.1030145793745479
San Joaquin,2010,685306,-0.12623945692064,377744,1,685306,-0.12623945692064
San Luis Obispo,2010,269637,-0.2067359308736165,178545,1,269637,-0.2067359308736165
San Mateo,2010,718451,-0.1198207544694795,500508,50,718451,-0.1198207544694795
Santa Barbara,2010,423895,-0.1768630630893019,251651,11,423895,-0.1768630630893019
Santa Clara,2010,1781642,0.086071738448056,1132294,93,1781642,0.086071738448056
Santa Cruz,2010,262382,-0.2081408995350487,167294,6,262382,-0.2081408995350487
Shasta,2010,177223,-0.2246323848884465,120137,0,177223,-0.2246323848884465
Sierra,2010,3240,-0.2583251019969168,2779,0,3240,-0.2583251019969168
Siskiyou,2010,44900,-0.2502574253001196,35462,0,44900,-0.2502574253001196
Solano,2010,413344,-0.1789063193741773,256503,0,413344,-0.1789063193741773
Sonoma,2010,483878,-0.1652470416945831,321825,8,483878,-0.1652470416945831
Stanislaus,2010,514453,-0.1593260331731099,288895,1,514453,-0.1593260331731099
Sutter,2010,94737,-0.2406062298239246,56545,0,94737,-0.2406062298239246
Tehama,2010,63463,-0.2466626033480637,38011,0,63463,-0.2466626033480637
Trinity,2010,13786,-0.2562828139881692,10728,0,13786,-0.2562828139881692
Tulare,2010,442179,-0.1733222709451771,227826,1,442179,-0.1733222709451771
Tuolumne,2010,55365,-0.2482308233646423,42495,0,55365,-0.2482308233646423
Ventura,2010,823318,-0.0995127119307605,532296,42,823318,-0.0995127119307605
Yolo,2010,200849,-0.2200570865293843,109452,1,200849,-0.2200570865293843
Yuba,2010,72155,-0.244979352127503,40798,0,72155,-0.244979352127503
Alameda,2011,1527169,0.0367917122343239,880124,362,1527169,0.0367917122343239
Amador,2011,37089,-0.2517700662669627,30485,6,37089,-0.2517700662669627
Butte,2011,221377,-0.2160817320591046,132458,8,221377,-0.2160817320591046
Calaveras,2011,45561,-0.2501294191960249,39368,4,45561,-0.2501294191960249
Colusa,2011,21362,-0.2548156819993326,14506,0,21362,-0.2548156819993326
Contra Costa,2011,1061578,-0.0533724178890201,666604,158,1061578,-0.0533724178890201
Del Norte,2011,28191,-0.2534932104639886,15859,0,28191,-0.2534932104639886
El Dorado,2011,180887,-0.2239228321419976,128988,21,180887,-0.2239228321419976
Fresno,2011,938507,-0.0772057601538192,481290,33,938507,-0.0772057601538192
Glenn,2011,28252,-0.2534813974952295,18682,0,28252,-0.2534813974952295
Humboldt,2011,135894,-0.2326359617055837,89843,9,135894,-0.2326359617055837
Imperial,2011,175448,-0.2249761229138142,107635,1,175448,-0.2249761229138142
Inyo,2011,18582,-0.2553540435263872,14756,0,18582,-0.2553540435263872
Kern,2011,845269,-0.09526178607451,437509,26,845269,-0.09526178607451
Kings,2011,150073,-0.2298901242623794,68507,3,150073,-0.2298901242623794
Lake,2011,65318,-0.2463033729046514,48088,3,65318,-0.2463033729046514
Lassen,2011,34416,-0.2522877066848825,18802,0,34416,-0.2522877066848825
Los Angeles,2011,9872846,1.6529756741137414,5518332,1461,9872846,1.6529756741137414
Madera,2011,151054,-0.2297001484861058,78711,5,151054,-0.2297001484861058
Marin,2011,254256,-0.2097145418979429,173842,104,254256,-0.2097145418979429
Mariposa,2011,18180,-0.255431892927062,15413,1,18180,-0.255431892927062
Mendocino,2011,87787,-0.2419521336415612,66083,3,87787,-0.2419521336415612
Merced,2011,259183,-0.2087604026016127,133298,3,259183,-0.2087604026016127
Modoc,2011,9653,-0.2570831910354055,6362,0,9653,-0.2570831910354055
Mono,2011,14312,-0.2561809513395251,9461,0,14312,-0.2561809513395251
Monterey,2011,416582,-0.1782792637538165,241465,27,416582,-0.1782792637538165
Napa,2011,136839,-0.2324529575174302,90281,24,136839,-0.2324529575174302
Nevada,2011,99035,-0.239773899664471,73187,4,99035,-0.239773899664471
Orange,2011,3037811,0.3293354294835593,1873732,446,3037811,0.3293354294835593
Placer,2011,354618,-0.1902789161503682,240320,35,354618,-0.1902789161503682
Plumas,2011,19977,-0.2550838944867321,17017,0,19977,-0.2550838944867321
Riverside,2011,2213474,0.1696982618117463,1211549,99,2213474,0.1696982618117463
Sacramento,2011,1431665,0.0182968635725159,804508,101,1431665,0.0182968635725159
San Benito,2011,55835,-0.2481398054086295,35178,4,55835,-0.2481398054086295
San Bernardino,2011,2055566,0.1391185524541405,1122878,66,2055566,0.1391185524541405
San Diego,2011,3124985,0.346217130116459,1915640,781,3124985,0.346217130116459
San Francisco,2011,815714,-0.1009852662659128,353737,163,815714,-0.1009852662659128
San Joaquin,2011,692465,-0.1248530791608615,379369,20,692465,-0.1248530791608615
San Luis Obispo,2011,270396,-0.2065889465574171,178630,35,270396,-0.2065889465574171
San Mateo,2011,726265,-0.1183075325369598,504776,339,726265,-0.1183075325369598
Santa Barbara,2011,424822,-0.1766835446952085,250966,79,424822,-0.1766835446952085
Santa Clara,2011,1805407,0.0906739548834709,1133618,861,1805407,0.0906739548834709
Santa Cruz,2011,265364,-0.2075634196524311,166606,50,265364,-0.2075634196524311
Shasta,2011,178218,-0.2244396979390151,118743,9,178218,-0.2244396979390151
Sierra,2011,3244,-0.2583243273760146,2732,0,3244,-0.2583243273760146
Siskiyou,2011,44937,-0.2502502600567739,34630,0,44937,-0.2502502600567739
Solano,2011,414084,-0.1787630145072635,255749,24,414084,-0.1787630145072635
Sonoma,2011,485975,-0.1648409466865854,320561,78,485975,-0.1648409466865854
Stanislaus,2011,517840,-0.1586701229241408,288060,17,517840,-0.1586701229241408
Sutter,2011,94535,-0.2406453481794876,56564,0,94535,-0.2406453481794876
Tehama,2011,63337,-0.2466870039064842,37791,2,63337,-0.2466870039064842
Trinity,2011,13945,-0.2562520228073053,10723,1,13945,-0.2562520228073053
Tulare,2011,445415,-0.1726956026352675,227483,13,445415,-0.1726956026352675
Tuolumne,2011,55306,-0.2482422490229503,42320,3,55306,-0.2482422490229503
Ventura,2011,830196,-0.0981807512893642,531086,155,830196,-0.0981807512893642
Yolo,2011,202769,-0.2196852684963106,109944,33,202769,-0.2196852684963106
Yuba,2011,72841,-0.2448465046427693,40595,2,72841,-0.2448465046427693
Alameda,2012,1549193,0.0410567749220402,884729,1168,1549193,0.0410567749220402
Amador,2012,37272,-0.2517346273606853,30356,8,37272,-0.2517346273606853
Butte,2012,222623,-0.2158404376480578,132130,28,222623,-0.2158404376480578
Calaveras,2012,45544,-0.2501327113348595,39567,8,45544,-0.2501327113348595
Colusa,2012,21301,-0.2548274949680917,14489,0,21301,-0.2548274949680917
Contra Costa,2012,1075165,-0.0507412243393469,673659,632,1075165,-0.0507412243393469
Del Norte,2012,28193,-0.2534928231535375,15644,3,28193,-0.2534928231535375
El Dorado,2012,180121,-0.2240711720447759,128462,68,180121,-0.2240711720447759
Fresno,2012,945656,-0.0758213189462963,486872,76,945656,-0.0758213189462963
Glenn,2012,28102,-0.2535104457790634,18733,0,28102,-0.2535104457790634
Humboldt,2012,135888,-0.232637123636937,89315,21,135888,-0.232637123636937
Imperial,2012,177599,-0.2245595705236363,109630,4,177599,-0.2245595705236363
Inyo,2012,18617,-0.2553472655934926,14907,2,18617,-0.2553472655934926
Kern,2012,853585,-0.0936513492187595,445574,62,853585,-0.0936513492187595
Kings,2012,151242,-0.2296637413037007,69583,3,151242,-0.2296637413037007
Lake,2012,65573,-0.2462539908221337,48721,10,65573,-0.2462539908221337
Lassen,2012,34222,-0.252325275798641,18635,1,34222,-0.252325275798641
Los Angeles,2012,9937750,1.665544672873437,5530860,4734,9937750,1.665544672873437
Madera,2012,151155,-0.2296805893083243,79537,14,151155,-0.2296805893083243
Marin,2012,257096,-0.2091645610573548,173364,316,257096,-0.2091645610573548
Mariposa,2012,18084,-0.2554504838287157,15427,2,18084,-0.2554504838287157
Mendocino,2012,88402,-0.2418330356778423,66050,18,88402,-0.2418330356778423
Merced,2012,261779,-0.2082576736360609,135154,16,261779,-0.2082576736360609
Modoc,2012,9508,-0.2571112710431116,6317,0,9508,-0.2571112710431116
Mono,2012,14181,-0.2562063201740733,9319,0,14181,-0.2562063201740733
Monterey,2012,422477,-0.1771376661991449,243736,76,422477,-0.1771376661991449
Napa,2012,138249,-0.2321799036493917,90674,81,138249,-0.2321799036493917
Nevada,2012,98896,-0.2398008177408238,72991,19,98896,-0.2398008177408238
Orange,2012,3073792,0.3363033381544057,1881637,2175,3073792,0.3363033381544057
Placer,2012,360512,-0.1891375122509222,243277,118,360512,-0.1891375122509222
Plumas,2012,19700,-0.255137536984212,16815,1,19700,-0.255137536984212
Riverside,2012,2239478,0.1747340722971883,1228399,445,2239478,0.1747340722971883
Sacramento,2012,1447519,0.0213670735185318,811630,290,1447519,0.0213670735185318
San Benito,2012,56778,-0.2479571885309271,35966,14,56778,-0.2479571885309271
San Bernardino,2012,2072061,0.1423128953997399,1132833,344,2072061,0.1423128953997399
San Diego,2012,3155715,0.3521681551978939,1931167,1967,3155715,0.3521681551978939
San Francisco,2012,826354,-0.0989247746659627,354656,507,826354,-0.0989247746659627
San Joaquin,2012,699719,-0.1234483041546549,382646,75,699719,-0.1234483041546549
San Luis Obispo,2012,272951,-0.2060941574561133,179353,82,272951,-0.2060941574561133
San Mateo,2012,735915,-0.1164387596103133,510352,816,735915,-0.1164387596103133
Santa Barbara,2012,427960,-0.1760758545974037,252663,170,427960,-0.1760758545974037
Santa Clara,2012,1833344,0.0960841009199189,1140932,2511,1833344,0.0960841009199189
Santa Cruz,2012,267492,-0.2071513213324411,167095,154,267492,-0.2071513213324411
Shasta,2012,178865,-0.2243144030080783,117732,19,178865,-0.2243144030080783
Sierra,2012,3239,-0.2583252956521424,2715,0,3239,-0.2583252956521424
Siskiyou,2012,44778,-0.2502810512376378,34251,3,44778,-0.2502810512376378
Solano,2012,418963,-0.17781817066176,257811,107,418963,-0.17781817066176
Sonoma,2012,488601,-0.1643324080642669,323367,238,488601,-0.1643324080642669
Stanislaus,2012,521723,-0.1579181596832943,290325,40,521723,-0.1579181596832943
Sutter,2012,94718,-0.2406099092732102,56491,4,94718,-0.2406099092732102
Tehama,2012,63202,-0.2467131473619347,37842,4,63202,-0.2467131473619347
Trinity,2012,14193,-0.2562039963113666,10633,4,14193,-0.2562039963113666
Tulare,2012,449884,-0.1718301574322433,230802,31,449884,-0.1718301574322433
Tuolumne,2012,55100,-0.2482821419994155,41984,7,55100,-0.2482821419994155
Ventura,2012,835510,-0.0971516674207425,534659,491,835510,-0.0971516674207425
Yolo,2012,204087,-0.2194300309090236,109437,87,204087,-0.2194300309090236
Yuba,2012,73501,-0.2447186921939002,40456,6,73501,-0.2447186921939002
Alameda,2013,1575139,0.0460813534043998,917322,3622,1575139,0.0460813534043998
Amador,2013,37044,-0.2517787807521128,31461,9,37044,-0.2517787807521128
Butte,2013,224391,-0.2154980552092691,135830,69,224391,-0.2154980552092691
Calaveras,2013,45499,-0.2501414258200096,40843,27,45499,-0.2501414258200096
Colusa,2013,21418,-0.2548048373067013,14997,1,21418,-0.2548048373067013
Contra Costa,2013,1090305,-0.0478092842243803,698252,1929,1090305,-0.0478092842243803
Del Norte,2013,27752,-0.2535782251080091,15830,12,27752,-0.2535782251080091
El Dorado,2013,179663,-0.224159866138082,133050,212,179663,-0.224159866138082
Fresno,2013,953114,-0.0743770382740756,503427,226,953114,-0.0743770382740756
Glenn,2013,27914,-0.2535468529614685,19061,2,27914,-0.2535468529614685
Humboldt,2013,135810,-0.2326522287445306,91760,54,135810,-0.2326522287445306
Imperial,2013,177731,-0.2245340080338625,113063,15,177731,-0.2245340080338625
Inyo,2013,18673,-0.2553364209008613,15218,6,18673,-0.2553364209008613
Kern,2013,861948,-0.0920318105674077,459264,189,861948,-0.0920318105674077
Kings,2013,150004,-0.229903486472943,71228,11,150004,-0.229903486472943
Lake,2013,65928,-0.2461852432170602,50061,24,65928,-0.2461852432170602
Lassen,2013,33564,-0.2524527009370589,19015,1,33564,-0.2524527009370589
Los Angeles,2013,9995638,1.6767549865706093,5690003,13869,9995638,1.6767549865706093
Madera,2013,150652,-0.2297779978867807,82070,27,150652,-0.2297779978867807
Marin,2013,258815,-0.2088316677246184,178103,946,258815,-0.2088316677246184
Mariposa,2013,17936,-0.2554791448020985,15908,5,17936,-0.2554791448020985
Mendocino,2013,89320,-0.2416552601807789,67977,43,89320,-0.2416552601807789
Merced,2013,263501,-0.2079241993376479,139433,39,263501,-0.2079241993376479
Modoc,2013,9408,-0.2571306365656675,6404,0,9408,-0.2571306365656675
Mono,2013,13865,-0.2562675152253501,9641,1,13865,-0.2562675152253501
Monterey,2013,425742,-0.1765053818876941,251527,211,425742,-0.1765053818876941
Napa,2013,138808,-0.2320716503783041,94323,210,138808,-0.2320716503783041
Nevada,2013,99116,-0.2397582135912007,74537,52,99116,-0.2397582135912007
Orange,2013,3105236,0.3423926330668899,1945863,6114,3105236,0.3423926330668899
Placer,2013,365195,-0.1882306248296283,251830,387,365195,-0.1882306248296283
Plumas,2013,19345,-0.2552062845892855,17019,3,19345,-0.2552062845892855
Riverside,2013,2260809,0.1788649319135921,1276953,1299,2260809,0.1788649319135921
Sacramento,2013,1461786,0.0241299526215852,839193,1002,1461786,0.0241299526215852
San Benito,2013,57386,-0.2478394461537871,37438,45,57386,-0.2478394461537871
San Bernardino,2013,2085599,0.1449345998433606,1167485,1003,2085599,0.1449345998433606
San Diego,2013,3190323,0.3588701752440474,2003012,4448,3190323,0.3588701752440474
San Francisco,2013,839556,-0.0963681383781299,368001,1313,839556,-0.0963681383781299
San Joaquin,2013,705545,-0.1223200688105469,395126,218,705545,-0.1223200688105469
San Luis Obispo,2013,275482,-0.2056040160802229,185467,251,275482,-0.2056040160802229
San Mateo,2013,745842,-0.1145163441861868,529074,2441,745842,-0.1145163441861868
Santa Barbara,2013,432485,-0.1751995647017482,260928,414,432485,-0.1751995647017482
Santa Clara,2013,1861489,0.1015345272432832,1178520,7816,1861489,0.1015345272432832
Santa Cruz,2013,269714,-0.2067210194212485,172542,546,269714,-0.2067210194212485
Shasta,2013,180106,-0.2240740768731593,121390,52,180106,-0.2240740768731593
Sierra,2013,3225,-0.2583280068253002,2779,0,3225,-0.2583280068253002
Siskiyou,2013,44726,-0.2502911213093669,35257,9,44726,-0.2502911213093669
Solano,2013,423373,-0.1769641511170439,267275,325,423373,-0.1769641511170439
Sonoma,2013,492751,-0.1635287388781961,334893,756,492751,-0.1635287388781961
Stanislaus,2013,525173,-0.157250049155115,298876,108,525173,-0.157250049155115
Sutter,2013,94496,-0.2406529007332844,58343,10,94496,-0.2406529007332844
Tehama,2013,63257,-0.2467024963245289,39408,6,63257,-0.2467024963245289
Trinity,2013,14442,-0.2561557761602024,10822,3,14442,-0.2561557761602024
Tulare,2013,453530,-0.1711240904798544,238536,62,453530,-0.1711240904798544
Tuolumne,2013,55109,-0.2482803991023855,43389,12,55109,-0.2482803991023855
Ventura,2013,841501,-0.0959914789644172,548331,1139,841501,-0.0959914789644172
Yolo,2013,206386,-0.2189848175454629,114271,259,206386,-0.2189848175454629
Yuba,2013,74114,-0.2445999815406324,41654,18,74114,-0.2445999815406324
Alameda,2014,1597747,0.0504595107438427,945024,8304,1597747,0.0504595107438427
Amador,2014,37089,-0.2517700662669627,32377,21,37089,-0.2517700662669627
Butte,2014,225737,-0.2152373952756664,138086,134,225737,-0.2152373952756664
Calaveras,2014,45461,-0.2501487847185809,41952,40,45461,-0.2501487847185809
Colusa,2014,21442,-0.2548001895812878,15222,4,21442,-0.2548001895812878
Contra Costa,2014,1104732,-0.0450154202852374,715671,4233,1104732,-0.0450154202852374
Del Norte,2014,27341,-0.253657817405714,15688,19,27341,-0.253657817405714
El Dorado,2014,180132,-0.2240690418372947,135913,460,180132,-0.2240690418372947
Fresno,2014,959645,-0.0731122759959484,516116,740,959645,-0.0731122759959484
Glenn,2014,27946,-0.2535406559942507,19540,4,27946,-0.2535406559942507
Humboldt,2014,135895,-0.2326357680503581,93068,221,135895,-0.2326357680503581
Imperial,2014,178471,-0.2243907031669486,117294,27,178471,-0.2243907031669486
Inyo,2014,18771,-0.2553174426887565,15352,9,18771,-0.2553174426887565
Kern,2014,867021,-0.0910493976081458,471196,414,867021,-0.0910493976081458
Kings,2014,148974,-0.230102951355269,72538,23,148974,-0.230102951355269
Lake,2014,66484,-0.2460775709116493,51366,56,66484,-0.2460775709116493
Lassen,2014,32908,-0.2525797387650258,19019,5,32908,-0.2525797387650258
Los Angeles,2014,10037944,1.684947764543118,5816774,28696,10037944,1.684947764543118
Madera,2014,152067,-0.2295039757426143,84033,85,152067,-0.2295039757426143
Marin,2014,261931,-0.2082282380417759,180602,1866,261931,-0.2082282380417759
Mariposa,2014,17865,-0.2554928943231132,16172,11,17865,-0.2554928943231132
Mendocino,2014,89569,-0.2416070400296147,69253,130,89569,-0.2416070400296147
Merced,2014,264670,-0.2076978163789692,143703,91,264670,-0.2076978163789692
Modoc,2014,9312,-0.2571492274673212,6562,0,9312,-0.2571492274673212
Mono,2014,13712,-0.2562971444748606,9677,6,13712,-0.2562971444748606
Monterey,2014,427425,-0.1761794601430779,259198,509,427425,-0.1761794601430779
Napa,2014,140114,-0.2318187366537237,95647,423,140114,-0.2318187366537237
Nevada,2014,99490,-0.2396857865368416,76068,113,99490,-0.2396857865368416
Orange,2014,3125985,0.3464107853420182,1991231,12690,3125985,0.3464107853420182
Placer,2014,369910,-0.1873175404411166,258140,882,369910,-0.1873175404411166
Plumas,2014,19120,-0.2552498570150364,17236,6,19120,-0.2552498570150364
Riverside,2014,2280208,0.1826216496342154,1317751,2933,2280208,0.1826216496342154
Sacramento,2014,1476829,0.0270431081796726,863881,2229,1476829,0.0270431081796726
San Benito,2014,58212,-0.2476794869374752,38532,99,58212,-0.2476794869374752
San Bernardino,2014,2096526,0.1470506704930463,1201860,2295,2096526,0.1470506704930463
San Diego,2014,3219710,0.3645611213575563,2045488,8186,3219710,0.3645611213575563
San Francisco,2014,846661,-0.0949922180005316,373808,2618,846661,-0.0949922180005316
San Joaquin,2014,712387,-0.1209950797572707,409085,537,712387,-0.1209950797572707
San Luis Obispo,2014,278272,-0.2050637180009126,189554,476,278272,-0.2050637180009126
San Mateo,2014,751906,-0.1133420188983957,545796,4491,751906,-0.1133420188983957
Santa Barbara,2014,437066,-0.1743124301134614,268208,755,437066,-0.1743124301134614
Santa Clara,2014,1883691,0.1058340605611491,1204964,16156,1883691,0.1058340605611491
Santa Cruz,2014,271559,-0.2063637255300917,176901,1090,271559,-0.2063637255300917
Shasta,2014,180826,-0.2239346451107567,121875,97,180826,-0.2239346451107567
Sierra,2014,3218,-0.2583293624118791,2839,1,3218,-0.2583293624118791
Siskiyou,2014,44674,-0.2503011913810959,35444,20,44674,-0.2503011913810959
Solano,2014,428671,-0.1759381657320311,274494,767,428671,-0.1759381657320311
Sonoma,2014,496615,-0.1627804550866353,343411,1821,496615,-0.1627804550866353
Stanislaus,2014,528123,-0.1566787662397153,307763,238,528123,-0.1566787662397153
Sutter,2014,95103,-0.2405353520113699,59875,34,95103,-0.2405353520113699
Tehama,2014,63067,-0.2467392908173852,41992,22,63067,-0.2467392908173852
Trinity,2014,14692,-0.2561073623538126,10958,5,14692,-0.2561073623538126
Tulare,2014,455774,-0.1706895281536995,244945,126,455774,-0.1706895281536995
Tuolumne,2014,55315,-0.2482405061259203,44410,26,55315,-0.2482405061259203
Ventura,2014,846456,-0.0950319173217712,557822,2243,846456,-0.0950319173217712
Yolo,2014,206708,-0.2189224605628329,117003,498,206708,-0.2189224605628329
Yuba,2014,74755,-0.244475848541049,42531,31,74755,-0.244475848541049
