County,Data Year,Total Population,Total Population Z Score,"Population Estimate, >18","Population Margin of Error, >18",Number of Gas Cars,Number of EV
Alameda,2010,1510271,0.0335193262328241,1170460.0250000001,*****,885402,20
Butte,2010,220000,-0.2163483953046997,174459.99999999997,±0.3,133169,0
Contra Costa,2010,1049025,-0.055803371935465,788866.8,±0.1,666294,10
El Dorado,2010,181058,-0.2238897170984269,139776.776,±0.2,129980,0
Fresno,2010,930450,-0.0787660403061499,652245.45,±0.1,481145,2
Humboldt,2010,134623,-0.2328820974972694,107294.531,±0.1,90949,2
Imperial,2010,174528,-0.2251542857213286,123565.824,±0.3,105807,0
Kern,2010,839631,-0.0963536142362129,585222.807,±0.1,434405,1
Kings,2010,152982,-0.2293267812112276,110453.004,*****,69017,0
Lake,2010,64665,-0.2464298297669415,51408.675,±0.8,48130,1
Los Angeles,2010,9818605,1.6424716210241834,7422865.379999999,*****,5533082,372
Madera,2010,150865,-0.2297367493237365,108622.8,±0.3,78679,0
Marin,2010,252409,-0.2100722230995508,200160.33699999997,±0.1,174309,15
Mendocino,2010,87841,-0.241941676259381,68076.77500000001,±1.2,66420,0
Merced,2010,255793,-0.2094168938162584,174962.412,±0.1,132962,0
Monterey,2010,415057,-0.1785745879727943,304236.781,±0.1,241846,1
Napa,2010,136484,-0.2325217051225037,104956.196,±0.2,90481,4
Nevada,2010,98764,-0.2398263802305976,79505.02,±0.9,74032,0
Orange,2010,3010232,0.3239946120178615,2272725.16,*****,1866285,40
Placer,2010,348432,-0.1914768673756776,263414.59199999995,±0.1,241078,5
Riverside,2010,2189641,0.1650828768209933,1569972.597,*****,1203395,4
Sacramento,2010,1418788,0.0158031652329898,1055578.272,*****,807914,6
San Bernardino,2010,2035210,0.135176506682657,1440928.68,*****,1123942,4
San Diego,2010,3095313,0.3404709922636657,2371009.758,*****,1920251,29
San Francisco,2010,805235,-0.1030145793745479,697333.51,±0.1,355409,24
San Joaquin,2010,685306,-0.12623945692064,484511.34200000006,*****,377744,1
San Luis Obispo,2010,269637,-0.2067359308736165,218945.244,±0.1,178545,1
San Mateo,2010,718451,-0.1198207544694795,559673.329,±0.1,500508,50
Santa Barbara,2010,423895,-0.1768630630893019,325975.255,*****,251651,11
Santa Clara,2010,1781642,0.086071738448056,1352266.278,*****,1132294,93
