Data Year,County,Fuel Category,Number of Vehicles
2010,Alameda,EV,20
2010,Alameda,Fossil Fuel,885402
2010,Alpine,EV,0
2010,Alpine,Fossil Fuel,1041
2010,Amador,EV,1
2010,Amador,Fossil Fuel,30480
2010,Butte,EV,0
2010,Butte,Fossil Fuel,133169
2010,Calaveras,EV,0
2010,Calaveras,Fossil Fuel,39636
2010,Colusa,EV,0
2010,Colusa,Fossil Fuel,14610
2010,Contra Costa,EV,10
2010,Contra Costa,Fossil Fuel,666294
2010,Del Norte,EV,0
2010,Del Norte,Fossil Fuel,16083
2010,El Dorado,EV,0
2010,El Dorado,Fossil Fuel,129980
2010,Fresno,EV,2
2010,Fresno,Fossil Fuel,481145
2010,Glenn,EV,0
2010,Glenn,Fossil Fuel,18720
2010,Humboldt,EV,2
2010,Humboldt,Fossil Fuel,90949
2010,Imperial,EV,0
2010,Imperial,Fossil Fuel,105807
2010,Inyo,EV,0
2010,Inyo,Fossil Fuel,14996
2010,Kern,EV,1
2010,Kern,Fossil Fuel,434405
2010,Kings,EV,0
2010,Kings,Fossil Fuel,69017
2010,Lake,EV,1
2010,Lake,Fossil Fuel,48130
2010,Lassen,EV,0
2010,Lassen,Fossil Fuel,19101
2010,Los Angeles,EV,372
2010,Los Angeles,Fossil Fuel,5533082
2010,Madera,EV,0
2010,Madera,Fossil Fuel,78679
2010,Marin,EV,15
2010,Marin,Fossil Fuel,174309
2010,Mariposa,EV,0
2010,Mariposa,Fossil Fuel,15601
2010,Mendocino,EV,0
2010,Mendocino,Fossil Fuel,66420
2010,Merced,EV,0
2010,Merced,Fossil Fuel,132962
2010,Modoc,EV,0
2010,Modoc,Fossil Fuel,6566
2010,Mono,EV,0
2010,Mono,Fossil Fuel,9500
2010,Monterey,EV,1
2010,Monterey,Fossil Fuel,241846
2010,Napa,EV,4
2010,Napa,Fossil Fuel,90481
2010,Nevada,EV,0
2010,Nevada,Fossil Fuel,74032
2010,Orange,EV,40
2010,Orange,Fossil Fuel,1866285
2010,Out Of State,EV,11
2010,Out Of State,Fossil Fuel,400173
2010,Placer,EV,5
2010,Placer,Fossil Fuel,241078
2010,Plumas,EV,0
2010,Plumas,Fossil Fuel,17400
2010,Riverside,EV,4
2010,Riverside,Fossil Fuel,1203395
2010,Sacramento,EV,6
2010,Sacramento,Fossil Fuel,807914
2010,San Benito,EV,1
2010,San Benito,Fossil Fuel,35284
2010,San Bernardino,EV,4
2010,San Bernardino,Fossil Fuel,1123942
2010,San Diego,EV,29
2010,San Diego,Fossil Fuel,1920251
2010,San Francisco,EV,24
2010,San Francisco,Fossil Fuel,355409
2010,San Joaquin,EV,1
2010,San Joaquin,Fossil Fuel,377744
2010,San Luis Obispo,EV,1
2010,San Luis Obispo,Fossil Fuel,178545
2010,San Mateo,EV,50
2010,San Mateo,Fossil Fuel,500508
2010,Santa Barbara,EV,11
2010,Santa Barbara,Fossil Fuel,251651
2010,Santa Clara,EV,93
