Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/12/2019,AQS,61111004,3,2.9,ug/m3 LC,16,Ojai - East Ojai Ave,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,37100.0,"Oxnard-Thousand Oaks-Ventura, CA",6,California,111,Ventura,34.44806,-119.2313
12/20/2019,AQS,60379034,1,1.1,ug/m3 LC,6,Lebec,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",31080.0,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.813034257,-118.884819458
03/28/2019,AQS,60610006,1,4.7,ug/m3 LC,26,Roseville-N Sunrise Ave,1,100.0,88101,PM2.5 - Local Conditions,143,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,40900.0,"Sacramento--Roseville--Arden-Arcade, CA",6,California,61,Placer,38.74643,-121.26498
02/24/2019,AQS,60850002,3,5.0,ug/m3 LC,28,Gilroy,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,36.999571,-121.574684
04/03/2019,AQS,60371103,2,3.5,ug/m3 LC,19,Los Angeles-North Main Street,1,100.0,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,31080.0,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.0665900008759,-118.22688
06/13/2019,AQS,60830011,3,7.4,ug/m3 LC,41,Santa Barbara,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200.0,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
03/07/2019,AQS,60110007,1,4.5,ug/m3 LC,25,Cortina Indian Rancheria,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,,,6,California,11,Colusa,39.0212210009231,-122.281803
09/15/2019,AQS,60510001,5,5.0,ug/m3 LC,28,Mammoth,1,100.0,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,,,6,California,51,Mono,37.64571,-118.96652
02/16/2019,AQS,60870007,3,6.5,ug/m3 LC,36,Santa Cruz,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100.0,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.983320000907,-121.98822
05/19/2019,AQS,60651016,1,3.7,ug/m3 LC,21,Morongo Air Monitoring Station,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,Riverside,33.9447129,-116.830074
