Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
08/25/2013,AQS,60871004,3,-0.9,ug/m3 LC,0,Felton,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100.0,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,37.0480078956044,-122.075695332776
10/07/2013,AQS,60371002,3,11.5,ug/m3 LC,55,Burbank,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,170,Met-one BAM-1020 W/PM2.5 SCC,31080.0,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.17605,-118.31712
08/05/2013,AQS,60192009,3,7.5,ug/m3 LC,42,Tranquillity,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,23420.0,"Fresno, CA",6,California,19,Fresno,36.6342250009037,-120.382331
10/09/2013,AQS,60850005,3,12.0,ug/m3 LC,56,San Jose - Jackson,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41940.0,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
01/21/2013,AQS,61072002,3,43.0,ug/m3 LC,119,Visalia-Church,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731,Met-One BAM-1020 W/PM2.5 SCC,47300.0,"Visalia-Porterville, CA",6,California,107,Tulare,36.3321793109462,-119.291227556039
02/01/2013,AQS,60374004,1,14.7,ug/m3 LC,61,Long Beach (South),1,100.0,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,31080.0,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,33.79236,-118.17533
04/01/2013,AQS,60631009,1,11.2,ug/m3 LC,55,Portola-161 Nevada Street,1,100.0,88101,PM2.5 - Local Conditions,118,R & P Model 2025 PM2.5 Sequential w/WINS,,,6,California,63,Plumas,39.808333,-120.471667
04/26/2013,AQS,60658001,3,10.0,ug/m3 LC,53,Rubidoux,1,100.0,88502,Acceptable PM2.5 AQI & Speciation Mass,731,Met-One BAM-1020 W/PM2.5 SCC,40140.0,"Riverside-San Bernardino-Ontario, CA",6,California,65,Riverside,33.9995800008751,-117.41601
06/02/2013,AQS,60771002,3,12.3,ug/m3 LC,57,Stockton-Hazelton,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,44700.0,"Stockton-Lodi, CA",6,California,77,San Joaquin,37.9507408985318,-121.268522670981
02/11/2013,AQS,60792006,3,6.7,ug/m3 LC,37,San Luis Obispo,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42020.0,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",6,California,79,San Luis Obispo,35.25651,-120.6693
