Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Data Year
2018-07-05,AQS,60010007,3,10.2,ug/m3 LC,53,Livermore,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,2018
2018-10-21,AQS,60010013,3,11.3,ug/m3 LC,55,Berkeley- Aquatic Park,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.8647670009145,-122.302741,2018
2018-09-10,AQS,60010007,3,8.1,ug/m3 LC,45,Livermore,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,2018
2018-02-15,AQS,60010012,3,8.6,ug/m3 LC,48,Laney College,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.793624,-122.263376,2018
2018-02-19,AQS,60010013,3,1.2,ug/m3 LC,7,Berkeley- Aquatic Park,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.8647670009145,-122.302741,2018
2018-04-23,AQS,60010007,3,13.0,ug/m3 LC,58,Livermore,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,2018
2018-01-14,AQS,60010013,3,22.1,ug/m3 LC,75,Berkeley- Aquatic Park,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.8647670009145,-122.302741,2018
2018-07-09,AQS,60010007,3,5.5,ug/m3 LC,31,Livermore,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,2018
2018-09-12,AQS,60010009,3,6.1,ug/m3 LC,34,Oakland,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935,2018
2018-08-10,AQS,60010007,3,12.4,ug/m3 LC,57,Livermore,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,2018
2018-04-10,AQS,60010012,3,11.0,ug/m3 LC,55,Laney College,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.793624,-122.263376,2018
2018-04-10,AQS,60010015,3,7.3,ug/m3 LC,41,Pleasanton - Owens Ct,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.7012220009132,-121.903019,2018
2018-11-20,AQS,60010009,3,49.8,ug/m3 LC,136,Oakland,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935,2018
2018-10-24,AQS,60010012,3,8.5,ug/m3 LC,47,Laney College,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.793624,-122.263376,2018
2018-07-04,AQS,60010009,3,21.2,ug/m3 LC,74,Oakland,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935,2018
2018-01-26,AQS,60010011,3,13.1,ug/m3 LC,58,Oakland West,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.814781,-122.282347,2018
2018-07-30,AQS,60010009,3,4.9,ug/m3 LC,27,Oakland,1,100.0,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,41860.0,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935,2018
